#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
123,Ironcast,26-Mar-15,$14.99,49% (79%,75%),"20,000?..?50,000",02:16 (00:45),Dreadbit,Ripstone,
122,Satellite-Reign,28-Aug-15,$29.99,39% (74%,75%),"500,000?..?1,000,000",17:34 (01:28),5 Lives Studios,5 Lives Studios,
121,Ravenmark-Scourge-of-Estellion,10-Sep-15,$14.99,27% (66%,75%),"0?..?20,000",00:00 (00:00),Witching Hour Studios,Slitherine Ltd.,
128,Serpent-in-the-Staglands,28-May-15,$19.99,24% (64%,75%),"0?..?20,000",00:00 (00:00),Whalenought Studios,Whalenought Studios,
132,Extreme-Exorcism,23-Sep-15,$5.99,"0 (0""",75%),"000""",00:00 (00:00),Golden Ruby Games,Ripstone,
140,Guns-Gore-Cannoli,30-Apr-15,$9.99,87% (93%,74%),"50,000?..?100,000",00:00 (00:00),"Crazy Monkey Studios, Claeysbrothers",Crazy Monkey Studios,
151,Action-Henk,11-May-15,$14.99,77% (90%,74%),"100,000?..?200,000",09:32 (06:48),RageSquid,RageSquid,
150,Annas-Quest,2-Jul-15,$19.99,68% (87%,74%),"100,000?..?200,000",03:02 (03:54),Daedalic Entertainment,Daedalic Entertainment,
142,kingdom,21-Oct-15,$4.99,66% (86%,74%),"2,000,000?..?5,000,000",03:05 (02:58),"Noio, Licorice",Raw Fury,
147,crookz-the-big-heist,25-Aug-15,$9.99,63% (85%,74%),"20,000?..?50,000",00:00 (00:00),Skilltree Studios,Kalypso Media Digital,
145,12-is-Better-Than-6,20-Nov-15,$9.99,58% (83%,74%),"200,000?..?500,000",02:11 (02:37),Ink Stains Games,HypeTrain Digital,
138,Oceanhorn-Monster-of-Uncharted-Seas,17-Mar-15,$14.99,58% (83%,74%),"100,000?..?200,000",00:00 (00:00),Cornfox & Bros.,Cornfox & Bros.,
133,Titan-Souls,14-Apr-15,$14.99,53% (81%,74%),"200,000?..?500,000",00:31 (00:13),Acid Nerve,Devolver Digital,
148,Assassins-Creed-Rogue,9-Mar-15,$19.99,51% (80%,74%),"200,000?..?500,000",45:38 (45:37),"Ubisoft Sofia, Ubisoft Kiev",Ubisoft,
152,Niko-Through-The-Dream,10-Jul-15,$9.99,49% (79%,74%),"0?..?20,000",03:00 (01:30),Studio Paint,Studio Paint,
144,The-Red-Solstice,9-Jul-15,$9.99,43% (76%,74%),"1,000,000?..?2,000,000",08:48 (16:44),Ironward,Nkidu Games Inc.,
141,Assassins-Creed-Syndicate,18-Nov-15,$39.99,41% (75%,74%),"500,000?..?1,000,000",02:58 (02:08),"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,
135,Zombie-Vikings,7-Dec-15,$11.99,39% (74%,74%),"20,000?..?50,000",00:19 (00:06),Zoink Games,Zoink Games,
139,Just-Cause-3,30-Nov-15,$29.99,36% (72%,74%),"2,000,000?..?5,000,000",03:43 (01:14),Avalanche Studios,Square Enix,
137,Mordheim-City-of-the-Damned,19-Nov-15,$39.99,34% (71%,74%),"200,000?..?500,000",00:41 (00:27),Rogue Factor,Focus Home Interactive,
146,Space-Colony-Steam-Edition,30-Apr-15,$14.99,33% (70%,74%),"20,000?..?50,000",02:37 (01:44),FireFly Studios,FireFly Studios,
143,Warhammer-40000-Deathwatch---Enhanced-Edition,16-Oct-15,$14.99,24% (64%,74%),"20,000?..?50,000",00:00 (00:00),Rodeo Games,Rodeo Games,
149,Blackguards-2,20-Jan-15,$14.99,23% (63%,74%),"200,000?..?500,000",00:30 (00:10),Daedalic Entertainment,Daedalic Entertainment,
134,Ceres,16-Oct-15,$19.99,17% (58%,74%),"0?..?20,000",00:09 (00:03),Jötunn Games,Iceberg Interactive,
136,A-Pixel-Story,30-Mar-15,$11.99,"0 (0""",74%),"000""",00:00 (00:00),Lamplight Studios,,
